Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Colton Gillies,5,282,33,56,12,89,4,154,6,12,2,18,4,195,44,47,7,91
Riley Cote,5,128,4,5,45,9,4,156,1,6,53,7,4,235,54,67,27,121
Brandon McMillan,4,160,35,40,2,75,5,171,14,22,0,36,4,250,55,113,4,168
Dustin Boyd,4,136,51,49,0,100,5,220,32,31,1,63,4,265,103,114,6,217
Josh Gorges,2,25,2,4,0,6,10,606,14,90,7,104,4,245,33,119,7,152
Carson McMillan,6,351,45,50,19,95,3,16,2,3,1,5,4,271,57,84,17,141
Ty Wishart,6,326,26,83,8,109,3,26,1,5,0,6,4,262,33,128,8,161
Brayden Schenn,3,47,22,30,1,52,6,274,58,76,11,134,4,224,116,199,11,315
Steve Regier,4,288,76,102,2,178,4,26,3,1,0,4,4,193,37,49,12,86
Devin Setoguchi,2,42,11,18,1,29,8,471,127,122,4,249,4,255,118,125,10,243
Lynn Loyns,5,264,43,48,13,91,3,34,3,2,1,5,4,258,72,113,8,185
Matthew Spiller,5,316,7,32,32,39,3,68,0,2,4,2,4,271,24,64,22,88
Ryan Stone,5,309,60,130,28,190,3,35,0,7,5,7,4,239,78,162,23,240
Jordan Eberle,3,54,34,40,0,74,5,356,120,164,0,284,4,254,155,155,0,310
Dean Arsene,12,618,15,80,79,95,1,13,0,0,3,0,4,276,8,40,36,48
Shane Endicott,6,354,67,106,1,173,2,45,1,2,1,3,4,219,72,101,1,173
Brandon Manning,4,244,31,83,36,114,3,21,0,5,1,5,4,200,45,91,24,136
Cody Almond,4,164,29,38,24,67,3,25,2,0,2,2,4,229,72,96,13,168
Max Reinhart,4,203,45,80,0,125,3,23,1,4,0,5,4,266,94,141,2,235
Brenden Dillon,3,123,9,34,8,43,4,209,11,24,13,35,4,280,11,83,22,94
Michael Stone,3,157,17,46,1,63,4,204,17,34,0,51,4,264,52,129,6,181
Jay Bouwmeester,1,2,0,1,0,1,12,918,78,279,1,357,4,194,40,111,0,151
Justin Mapletoft,5,320,67,107,4,174,2,38,3,6,0,9,4,279,115,160,9,275
Travis Hamonic,2,40,6,11,7,17,5,323,18,93,12,111,4,181,29,80,14,109
